date,FD,SD,FC,CV,PM,MFD
1995,103.2818225,100.3521606,96.36120375,98.65075875,99.443365,100.4411113
1996,96.75496527,95.93079145,101.6414535,98.92850764,99.10387382,98.71818473
1997,96.26856355,97.9740871,103.1503802,100.5815316,98.76878043,98.76896882
1998,98.77878282,100.2983659,100.2652902,101.9416635,99.76971441,100.2111089
1999,99.57220932,99.76264037,100.7296526,99.86708014,99.23369265,100.1332476
2000,99.975838,98.12273093,100.3015593,97.58868853,98.8518804,98.7016312
2001,102.6341779,100.8675474,97.26575168,99.01028979,100.0456651,100.9642307
2002,101.8920284,102.1778974,97.93110657,100.8431903,97.3761709,100.198666
2003,106.4193297,104.9611344,94.12583579,100.1334988,97.81023021,99.70418569
2004,104.2813929,104.1651398,97.08756146,100.9614541,94.99722719,99.08123096
2005,105.2517164,103.7384212,97.27016454,99.34310168,95.86993783,99.31525821
2006,101.370889,101.7955613,99.6065733,100.743163,95.56297126,99.37306798
2007,102.8239138,102.7684289,98.2160365,100.6184863,94.21841682,100.1679666
2008,98.78099251,97.90181429,103.2036668,97.59002686,92.57192299,97.46622854
2009,96.99648154,98.23915975,103.8034363,99.53408222,93.747956,97.67871218
2010,91.75286646,94.38540806,107.2592577,99.25924029,94.41067574,97.59566026
2011,89.34573192,91.85522453,109.4658108,97.9447429,94.79609512,97.09808779
2012,89.21297899,91.91646748,110.3109219,98.11153128,93.10027118,95.59686124
2013,89.57450938,93.08630696,109.7110308,99.42090561,92.90433313,94.94290716
2014,91.47596247,94.03989065,107.7483507,99.28639345,93.88619201,96.10949927
2015,91.28234254,93.65153663,108.1691881,98.76268237,94.97806117,95.83516107
2016,92.78555689,94.63642115,106.2388833,98.99680025,94.58214849,99.18032731
2017,90.86490759,93.97620262,107.5318876,100.0097103,91.71691464,97.07875699
2018,86.62262869,92.358502,110.2053351,102.4195873,89.63076847,92.60521532